,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
121,0 <= ... < 200 DM,25,existing credits paid back duly till now,furniture/equipment,2463,unknown/ no savings account,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,47,none,rent,2,unskilled - resident,2,none,no,male,single,1
122,no checking account,46,critical account/ other credits existing (not at this bank),radio/television,929,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,single,1
123,no checking account,25,existing credits paid back duly till now,radio/television,2142,... < 100 DM,.. >= 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,none,yes,male,single,1
124,< 0 DM,22,critical account/ other credits existing (not at this bank),car (new),3264,... < 100 DM,... < 1 year,2,none,4,unknown / no property,49,stores,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
125,0 <= ... < 200 DM,37,critical account/ other credits existing (not at this bank),radio/television,2333,... < 100 DM,unemployed,1,none,3,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
126,< 0 DM,16,all credits at this bank paid back duly,business,4679,... < 100 DM,.. >= 7 years,2,none,4,real estate,26,none,own,2,skilled employee / official,1,none,yes,male,single,1
127,< 0 DM,25,existing credits paid back duly till now,radio/television,2882,... < 100 DM,1 <= ... < 4 years,3,none,4,if not A121 : building society savings agreement/ life insurance,34,none,for free,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,2
128,no checking account,12,critical account/ other credits existing (not at this bank),car (new),2205,... < 100 DM,4 <= ... < 7 years,2,none,1,unknown / no property,53,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,divorced/separated/married,1
129,no checking account,17,existing credits paid back duly till now,car (used),905,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,for free,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
130,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1451,... < 100 DM,.. >= 7 years,2,none,4,real estate,34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
131,no checking account,24,existing credits paid back duly till now,furniture/equipment,1039,unknown/ no savings account,.. >= 7 years,4,none,2,if not A121 : building society savings agreement/ life insurance,46,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
132,... >= 200 DM / salary assignments for at least 1 year,39,critical account/ other credits existing (not at this bank),business,1592,... < 100 DM,1 <= ... < 4 years,2,none,4,unknown / no property,33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,divorced/separated/married,1
133,< 0 DM,13,existing credits paid back duly till now,car (new),7027,... < 100 DM,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,female,married/widowed,1
134,no checking account,13,existing credits paid back duly till now,education,1426,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",62,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,divorced/separated/married,2
135,< 0 DM,17,existing credits paid back duly till now,radio/television,992,... < 100 DM,... < 1 year,2,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,single,1
136,no checking account,19,delay in paying off in the past,furniture/equipment,6167,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,skilled employee / official,1,none,yes,male,single,1
137,no checking account,18,critical account/ other credits existing (not at this bank),car (used),4856,... < 100 DM,.. >= 7 years,4,none,2,unknown / no property,27,none,own,2,skilled employee / official,1,none,no,male,single,1
138,no checking account,21,critical account/ other credits existing (not at this bank),car (used),3391,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,unknown / no property,27,none,own,1,skilled employee / official,2,none,yes,male,single,1
139,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),1090,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,for free,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,1
140,no checking account,39,existing credits paid back duly till now,car (new),2188,... < 100 DM,4 <= ... < 7 years,3,none,3,unknown / no property,42,none,own,3,skilled employee / official,1,none,yes,male,single,1
141,< 0 DM,13,existing credits paid back duly till now,car (new),1268,... < 100 DM,... < 1 year,2,none,2,"if not A121/A122 : car or other, not in attribute 6",33,bank,rent,2,skilled employee / official,1,none,yes,female,married/widowed,1
142,< 0 DM,14,all credits at this bank paid back duly,car (new),4755,... < 100 DM,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",47,none,own,2,skilled employee / official,1,"yes, registered under the customers name",no,male,married/widowed,1
143,< 0 DM,24,all credits at this bank paid back duly,car (used),7612,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,2,none,yes,female,divorced/separated/married,2
144,0 <= ... < 200 DM,25,existing credits paid back duly till now,car (used),4296,... < 100 DM,1 <= ... < 4 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
145,no checking account,22,no credits taken/ all credits paid back duly,furniture/equipment,3024,... < 100 DM,unemployed,3,none,4,unknown / no property,48,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,2
146,< 0 DM,14,existing credits paid back duly till now,car (new),854,... < 100 DM,.. >= 7 years,3,none,2,if not A121 : building society savings agreement/ life insurance,36,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
147,no checking account,24,existing credits paid back duly till now,others,2128,... < 100 DM,4 <= ... < 7 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
148,< 0 DM,13,existing credits paid back duly till now,others,2664,unknown/ no savings account,... < 1 year,2,none,4,"if not A121/A122 : car or other, not in attribute 6",63,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
149,no checking account,26,all credits at this bank paid back duly,car (used),4546,500 <= ... < 1000 DM,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
150,no checking account,16,existing credits paid back duly till now,car (new),5453,... < 100 DM,1 <= ... < 4 years,3,none,3,if not A121 : building society savings agreement/ life insurance,37,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
151,... >= 200 DM / salary assignments for at least 1 year,12,all credits at this bank paid back duly,car (new),1577,... < 100 DM,.. >= 7 years,2,none,3,real estate,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,divorced/separated/married,1
152,no checking account,13,existing credits paid back duly till now,radio/television,1098,... < 100 DM,4 <= ... < 7 years,1,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,married/widowed,2
153,no checking account,15,existing credits paid back duly till now,car (used),6430,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,26,none,own,1,unskilled - resident,2,none,no,male,single,1
154,0 <= ... < 200 DM,17,existing credits paid back duly till now,radio/television,2195,unknown/ no savings account,4 <= ... < 7 years,3,none,3,real estate,27,bank,own,2,skilled employee / official,1,none,yes,male,single,1
155,< 0 DM,12,existing credits paid back duly till now,radio/television,1310,unknown/ no savings account,unemployed,3,co-applicant,3,if not A121 : building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,female,single,2
156,< 0 DM,37,critical account/ other credits existing (not at this bank),radio/television,4981,... < 100 DM,... < 1 year,2,none,2,if not A121 : building society savings agreement/ life insurance,47,none,rent,3,skilled employee / official,1,none,yes,male,divorced/separated/married,2
157,< 0 DM,44,existing credits paid back duly till now,repairs,4774,100 <= ... < 500 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,26,none,rent,2,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
158,no checking account,12,existing credits paid back duly till now,car (new),6126,unknown/ no savings account,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
159,0 <= ... < 200 DM,11,critical account/ other credits existing (not at this bank),domestic appliances,3678,... < 100 DM,1 <= ... < 4 years,4,guarantor,4,real estate,38,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,2
160,0 <= ... < 200 DM,14,existing credits paid back duly till now,radio/television,4614,... < 100 DM,4 <= ... < 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
161,0 <= ... < 200 DM,31,existing credits paid back duly till now,car (used),2973,unknown/ no savings account,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,2,"yes, registered under the customers name",no,male,single,1
162,0 <= ... < 200 DM,39,existing credits paid back duly till now,radio/television,997,... < 100 DM,.. >= 7 years,2,none,1,real estate,35,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
163,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,935,unknown/ no savings account,.. >= 7 years,2,none,1,unknown / no property,27,none,own,1,skilled employee / official,1,none,yes,male,single,1
164,0 <= ... < 200 DM,18,existing credits paid back duly till now,education,6063,100 <= ... < 500 DM,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,2,none,yes,male,single,1
165,0 <= ... < 200 DM,7,delay in paying off in the past,radio/television,10615,100 <= ... < 500 DM,.. >= 7 years,3,guarantor,4,unknown / no property,27,stores,for free,3,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,1
166,no checking account,10,existing credits paid back duly till now,education,3025,100 <= ... < 500 DM,1 <= ... < 4 years,2,guarantor,3,real estate,27,stores,own,3,skilled employee / official,2,none,yes,male,single,1
167,< 0 DM,37,existing credits paid back duly till now,business,5141,... < 100 DM,.. >= 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,single,2
168,0 <= ... < 200 DM,43,existing credits paid back duly till now,car (new),891,500 <= ... < 1000 DM,... < 1 year,3,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
169,< 0 DM,13,existing credits paid back duly till now,car (new),2580,... < 100 DM,.. >= 7 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",31,none,rent,2,skilled employee / official,1,none,yes,female,married/widowed,1
170,0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4778,unknown/ no savings account,unemployed,2,none,3,real estate,35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
171,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),business,1186,... < 100 DM,.. >= 7 years,2,none,3,real estate,30,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated/married,1
172,no checking account,50,existing credits paid back duly till now,radio/television,2092,unknown/ no savings account,1 <= ... < 4 years,2,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,2,skilled employee / official,1,none,yes,male,single,1
173,no checking account,26,critical account/ other credits existing (not at this bank),radio/television,4496,unknown/ no savings account,.. >= 7 years,3,none,4,real estate,27,none,rent,2,skilled employee / official,1,none,yes,male,single,1
174,< 0 DM,17,critical account/ other credits existing (not at this bank),retraining,2179,... < 100 DM,4 <= ... < 7 years,3,none,4,unknown / no property,35,stores,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
175,no checking account,25,existing credits paid back duly till now,car (used),7218,... < 100 DM,1 <= ... < 4 years,3,none,4,unknown / no property,46,stores,own,2,skilled employee / official,2,none,yes,male,single,1
176,< 0 DM,25,existing credits paid back duly till now,car (used),5216,500 <= ... < 1000 DM,... < 1 year,2,none,4,real estate,27,none,own,2,unskilled - resident,2,none,yes,male,single,1
177,no checking account,46,existing credits paid back duly till now,car (used),2040,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,male,single,1
178,no checking account,13,all credits at this bank paid back duly,radio/television,5395,100 <= ... < 500 DM,4 <= ... < 7 years,3,none,2,real estate,30,none,rent,2,unskilled - resident,1,"yes, registered under the customers name",yes,female,single,1
179,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2184,... < 100 DM,1 <= ... < 4 years,3,none,1,unknown / no property,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
180,no checking account,44,existing credits paid back duly till now,car (used),1018,unknown/ no savings account,1 <= ... < 4 years,3,none,4,real estate,37,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single,1
181,no checking account,24,existing credits paid back duly till now,car (new),1572,... < 100 DM,.. >= 7 years,2,guarantor,2,unknown / no property,35,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
182,< 0 DM,37,existing credits paid back duly till now,car (new),1034,unknown/ no savings account,unemployed,1,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,for free,1,unskilled - resident,1,none,yes,male,married/widowed,1
183,< 0 DM,37,critical account/ other credits existing (not at this bank),radio/television,3040,.. >= 1000 DM,1 <= ... < 4 years,3,guarantor,3,"if not A121/A122 : car or other, not in attribute 6",32,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,male,single,2
184,< 0 DM,39,existing credits paid back duly till now,car (new),4510,... < 100 DM,4 <= ... < 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
185,0 <= ... < 200 DM,26,existing credits paid back duly till now,business,2140,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,27,none,own,1,unskilled - resident,1,none,yes,male,single,1
186,no checking account,16,critical account/ other credits existing (not at this bank),car (new),4312,... < 100 DM,.. >= 7 years,4,none,2,real estate,36,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
187,no checking account,26,existing credits paid back duly till now,radio/television,981,100 <= ... < 500 DM,... < 1 year,2,none,1,"if not A121/A122 : car or other, not in attribute 6",47,bank,own,2,skilled employee / official,1,none,yes,male,single,1
188,0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),car (used),3595,.. >= 1000 DM,1 <= ... < 4 years,3,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,unskilled - resident,2,"yes, registered under the customers name",yes,male,single,1
189,no checking account,24,critical account/ other credits existing (not at this bank),car (new),1467,500 <= ... < 1000 DM,.. >= 7 years,2,none,4,real estate,60,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
190,0 <= ... < 200 DM,45,all credits at this bank paid back duly,retraining,1592,unknown/ no savings account,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,1
191,0 <= ... < 200 DM,14,existing credits paid back duly till now,repairs,1035,... < 100 DM,1 <= ... < 4 years,3,none,1,if not A121 : building society savings agreement/ life insurance,41,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
192,0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,908,unknown/ no savings account,1 <= ... < 4 years,3,none,1,real estate,27,none,own,1,skilled employee / official,1,none,yes,male,single,1
193,< 0 DM,13,existing credits paid back duly till now,business,1033,... < 100 DM,.. >= 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated,1
194,no checking account,13,existing credits paid back duly till now,car (new),1292,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
195,< 0 DM,37,existing credits paid back duly till now,car (new),1674,... < 100 DM,1 <= ... < 4 years,2,guarantor,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
196,< 0 DM,26,all credits at this bank paid back duly,radio/television,3033,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,26,none,rent,2,skilled employee / official,2,none,yes,male,single,1
197,no checking account,18,no credits taken/ all credits paid back duly,car (used),2614,... < 100 DM,unemployed,2,none,2,unknown / no property,34,stores,for free,2,unskilled - resident,2,none,yes,male,single,2
198,0 <= ... < 200 DM,38,all credits at this bank paid back duly,furniture/equipment,2565,... < 100 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,2,none,yes,male,single,1
199,no checking account,21,critical account/ other credits existing (not at this bank),radio/television,12245,500 <= ... < 1000 DM,4 <= ... < 7 years,4,guarantor,3,"if not A121/A122 : car or other, not in attribute 6",36,bank,rent,1,unskilled - resident,2,"yes, registered under the customers name",no,male,single,2
200,0 <= ... < 200 DM,12,delay in paying off in the past,car (used),1251,... < 100 DM,... < 1 year,2,none,3,real estate,40,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
201,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1000,... < 100 DM,.. >= 7 years,3,none,1,real estate,48,none,own,2,skilled employee / official,1,none,yes,male,single,1
202,< 0 DM,24,existing credits paid back duly till now,radio/television,1031,... < 100 DM,unemployed,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,2,unskilled - resident,1,"yes, registered under the customers name",no,female,divorced/separated/married,1
203,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,3574,unknown/ no savings account,4 <= ... < 7 years,4,none,2,unknown / no property,27,none,own,2,unskilled - resident,1,none,yes,male,single,1
204,no checking account,12,existing credits paid back duly till now,radio/television,1205,unknown/ no savings account,1 <= ... < 4 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married,2
205,0 <= ... < 200 DM,17,critical account/ other credits existing (not at this bank),furniture/equipment,946,... < 100 DM,... < 1 year,3,none,1,"if not A121/A122 : car or other, not in attribute 6",35,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
206,< 0 DM,24,existing credits paid back duly till now,radio/television,1334,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,3,unknown / no property,33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,married/widowed,1
207,0 <= ... < 200 DM,38,existing credits paid back duly till now,radio/television,2659,.. >= 1000 DM,... < 1 year,2,none,4,real estate,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated/married,1
208,no checking account,13,existing credits paid back duly till now,radio/television,1053,unknown/ no savings account,1 <= ... < 4 years,4,none,1,real estate,34,bank,own,1,skilled employee / official,1,none,yes,male,divorced/separated/married,1
209,< 0 DM,12,existing credits paid back duly till now,car (new),1561,... < 100 DM,4 <= ... < 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",34,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
210,< 0 DM,15,existing credits paid back duly till now,car (used),1834,... < 100 DM,1 <= ... < 4 years,3,none,4,real estate,26,none,for free,2,skilled employee / official,2,none,yes,male,single,1
211,no checking account,48,delay in paying off in the past,radio/television,1002,... < 100 DM,... < 1 year,4,none,1,"if not A121/A122 : car or other, not in attribute 6",35,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
212,0 <= ... < 200 DM,15,all credits at this bank paid back duly,car (new),4560,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,1,unknown / no property,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
213,0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),radio/television,2606,unknown/ no savings account,.. >= 7 years,2,none,4,real estate,32,none,rent,3,skilled employee / official,1,none,yes,female,married/widowed,1
214,no checking account,16,critical account/ other credits existing (not at this bank),radio/television,2083,unknown/ no savings account,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
215,... >= 200 DM / salary assignments for at least 1 year,14,critical account/ other credits existing (not at this bank),repairs,1063,... < 100 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",58,none,own,2,unskilled - resident,1,none,yes,male,single,1
216,... >= 200 DM / salary assignments for at least 1 year,39,existing credits paid back duly till now,furniture/equipment,2368,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,3,unknown / no property,44,none,rent,3,unemployed/ unskilled - non-resident,2,"yes, registered under the customers name",yes,female,married/widowed,1
217,no checking account,15,all credits at this bank paid back duly,others,8326,unknown/ no savings account,1 <= ... < 4 years,2,none,4,unknown / no property,47,stores,rent,2,skilled employee / official,2,none,yes,male,single,1
218,no checking account,35,delay in paying off in the past,car (used),9186,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",47,none,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
219,no checking account,47,existing credits paid back duly till now,radio/television,5546,... < 100 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
220,< 0 DM,16,existing credits paid back duly till now,car (new),877,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,for free,2,skilled employee / official,1,none,yes,male,single,1
221,no checking account,24,existing credits paid back duly till now,radio/television,1001,... < 100 DM,4 <= ... < 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",29,none,for free,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
222,0 <= ... < 200 DM,14,critical account/ other credits existing (not at this bank),business,1207,... < 100 DM,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
223,< 0 DM,12,critical account/ other credits existing (not at this bank),domestic appliances,3077,... < 100 DM,... < 1 year,3,none,2,real estate,32,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,single,2
224,no checking account,14,all credits at this bank paid back duly,radio/television,884,unknown/ no savings account,4 <= ... < 7 years,2,none,2,unknown / no property,49,none,own,1,skilled employee / official,1,none,yes,female,single,1
225,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1111,unknown/ no savings account,4 <= ... < 7 years,3,none,3,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
226,0 <= ... < 200 DM,13,existing credits paid back duly till now,business,17436,... < 100 DM,1 <= ... < 4 years,4,co-applicant,4,real estate,35,none,own,1,unskilled - resident,2,none,yes,male,single,1
227,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),1291,... < 100 DM,.. >= 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,unskilled - resident,1,none,yes,male,single,1
228,< 0 DM,12,existing credits paid back duly till now,radio/television,2230,... < 100 DM,1 <= ... < 4 years,3,none,3,if not A121 : building society savings agreement/ life insurance,29,none,for free,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
229,0 <= ... < 200 DM,22,existing credits paid back duly till now,car (used),2762,... < 100 DM,.. >= 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,34,stores,own,3,skilled employee / official,2,"yes, registered under the customers name",no,female,married/widowed,2
230,< 0 DM,13,critical account/ other credits existing (not at this bank),domestic appliances,1368,... < 100 DM,1 <= ... < 4 years,2,co-applicant,4,real estate,32,none,for free,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
231,no checking account,12,existing credits paid back duly till now,radio/television,1095,... < 100 DM,.. >= 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
232,< 0 DM,44,existing credits paid back duly till now,radio/television,883,unknown/ no savings account,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
233,no checking account,49,existing credits paid back duly till now,radio/television,2032,.. >= 1000 DM,.. >= 7 years,3,none,3,if not A121 : building society savings agreement/ life insurance,49,none,for free,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,1
234,< 0 DM,25,no credits taken/ all credits paid back duly,car (used),1468,unknown/ no savings account,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,47,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
235,0 <= ... < 200 DM,43,existing credits paid back duly till now,business,1007,... < 100 DM,1 <= ... < 4 years,1,none,4,unknown / no property,54,none,own,2,skilled employee / official,1,none,yes,male,single,1
236,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,2318,... < 100 DM,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,unskilled - resident,2,none,yes,female,divorced/separated/married,2
237,no checking account,18,existing credits paid back duly till now,car (new),6012,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,27,none,own,2,unskilled - resident,1,none,yes,male,single,1
238,no checking account,24,no credits taken/ all credits paid back duly,car (new),9830,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,for free,2,skilled employee / official,2,none,yes,male,single,1
239,no checking account,13,existing credits paid back duly till now,car (new),4982,... < 100 DM,unemployed,3,none,2,real estate,29,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,single,1
240,0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1049,unknown/ no savings account,4 <= ... < 7 years,3,none,3,real estate,29,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,divorced/separated/married,1
241,< 0 DM,26,critical account/ other credits existing (not at this bank),business,2073,unknown/ no savings account,4 <= ... < 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
242,0 <= ... < 200 DM,5,existing credits paid back duly till now,car (used),6216,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,28,none,own,2,skilled employee / official,2,none,yes,male,single,1
243,< 0 DM,37,all credits at this bank paid back duly,furniture/equipment,1681,500 <= ... < 1000 DM,unemployed,3,guarantor,4,if not A121 : building society savings agreement/ life insurance,34,bank,for free,2,skilled employee / official,1,none,yes,male,divorced/separated/married,1
244,no checking account,37,existing credits paid back duly till now,car (new),1000,... < 100 DM,1 <= ... < 4 years,1,none,1,if not A121 : building society savings agreement/ life insurance,54,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
